recurrence_order,tap_value,reflected_value,matrix_order,global_antiperiod_h,gcd_matrix_with_order,gcd_matrix_with_value,gcd_matrix_with_order_plus_value,v2_matrix_order,k_divides_matrix_order,v_divides_matrix_order,k_plus_v_divides_matrix_order
97,34,63,2104062644067959777081280507532972140486320,,1,2,1,4,False,False,False
97,35,62,4772013083142358222021139188342231780079207692,,1,1,4,2,False,False,False
97,36,61,1454660583417085631845645707326047221383840,,1,4,133,5,False,False,True
97,37,60,4771987142236598488789444153282977806302265066,,1,1,2,1,False,False,False
97,38,59,4819249957308330348869064,,1,2,3,3,False,False,False
97,39,58,1055857774706301249871131985887320,,1,1,8,3,False,False,False
97,40,57,8727963568087712425891397479476727340041448,,1,8,1,3,False,False,False
97,41,56,49743067725233607570044341818873309755986772,,1,1,2,2,False,False,False
97,42,55,19557103550715059324603137647532818474344240,,1,2,1,4,False,False,False
97,43,54,238600698497232290514904905785663756484208192,,1,1,4,6,False,False,False
97,44,53,198803614606442338148240958788545102132752240,,1,44,3,4,False,True,False
97,45,52,569736274479580299436161012885581403827680,,1,5,2,5,False,False,False
97,46,51,161628921171987949737375372600458321376248,,1,2,1,3,False,False,False
97,47,50,144263860629378700403810246975568702548168,,1,1,8,3,False,False,False
97,48,49,545497718781407107096305760850921590354580,,1,4,5,2,False,False,False
97,49,48,4595272818598180592105829439030100363592532586,,1,1,2,1,False,False,False
97,50,47,9238051838294813298875688891492931752,,1,2,21,3,False,False,False
97,51,46,59650176010437386713690133781162862624348240,,1,1,4,4,False,False,False
97,52,45,84183155402062243202972266337504737600,,1,52,1,6,False,True,False
97,53,44,14904047617742346521339817548149021324840,,1,1,10,3,False,False,False
97,54,43,1088908371527904091020583499838418014376,,1,2,1,3,False,False,False
97,55,42,265111887221963039338704393602305167682407440,,1,5,8,4,False,False,False
97,56,41,1583401050439374803102078176753409630867232534,,1,2,3,1,False,False,False
97,57,40,1148643106615000178518546878163233499319024480,,1,1,2,5,False,False,False
97,58,39,22739463895878891093179866965426766193080,,1,2,5,3,False,False,False
97,59,38,4772014080851956737062752865454224378622587560,,1,1,52,3,False,False,False
97,60,37,12432996535737482005329994905814123405520,,1,20,1,4,False,False,False
97,61,36,36952207067446162471311428830076115253,,1,1,1,0,False,False,False
97,62,35,3709597861171782925343563353360,,1,2,3,4,False,False,False
97,63,34,1836661565500456841045210499493986640960,,97,7,160,6,True,False,True
97,64,33,1671312172612540677298352708835969065114320,,1,16,1,4,False,False,False
97,65,32,561413416929382284149369499162717426063476800,,1,5,2,6,False,False,False
97,66,31,19792512670700761425066002905544852172883520,,1,22,1,6,False,False,False
97,67,30,22082554433065440119718602617057842060483992,,1,1,4,3,False,False,False
97,68,29,5793458297612881146953572536240,,1,4,15,4,False,False,False
97,69,28,917695015460722431901004588838154743514640,,1,1,2,4,False,False,False
97,70,27,13595480764336440387283170885407235863342888,,1,14,1,3,False,False,False
97,71,26,14429438902921064348710342454965997528,,1,1,56,3,False,False,False
97,72,25,3976453916050355317420269881579957976532960,,1,8,13,5,False,False,False
97,73,24,60610857955273006117723771303031777628364,,1,1,2,2,False,False,False
97,74,23,110805933130004498072474368984687983600,,1,2,3,4,False,False,False
97,75,22,1104624574851131802554696642243667806164360,,1,5,4,3,False,False,False
97,76,21,190681719752652783702668595825390706524530744,,1,4,1,3,False,False,False
97,77,20,1193003520212989192181321163632202861142896940,,1,1,58,2,False,False,False
97,78,19,3398689217530373224369119578954792462749040,,1,26,35,4,False,False,False
97,79,18,510585868733131176914646752549388549392424760,,1,1,8,3,False,False,False
97,80,17,916739207643377353380512143654769048877720,,1,40,177,3,False,False,True
97,81,16,9544028161703913537712243143807801346335324481,,1,1,1,0,False,False,False
97,82,15,30427252140541945564687649871394328,,1,2,1,3,False,False,False
97,83,14,572045278858414559117910246969696473073893738,,1,1,2,1,False,False,False
97,84,13,3519257840170772583105585706190790800,,1,4,1,4,False,False,False
97,85,12,9544028161703913537712243143807801346335324481,,1,1,1,0,False,False,False
97,86,11,11330505855584479658184509218644942240,,1,2,183,5,False,False,True
97,87,10,16896299658703642230697753999541080,,1,29,8,3,False,False,False
97,88,9,58886811821507843893822971464527517159865434,,1,22,1,1,False,False,False
97,89,8,2384875656217329949697403898014120076194139112,,1,1,2,3,False,False,False
97,90,7,19883379531967754540608068406734115920621440,,1,10,17,7,False,False,False
97,91,6,89752974746783197856381529427180632109840,,1,91,4,4,False,True,False
97,92,5,79206252820332694768800801342854601518971632,,1,4,3,4,False,False,False
97,93,4,128362527831652637186570099663109640,,1,1,10,3,False,False,False
97,94,3,13595456117834121812150174477036851503673520,,1,2,1,4,False,False,False
97,95,2,130919453521161170616457799130337070448556880,,1,5,16,4,False,False,False
97,96,1,3181342720567971179227722594306943408228170986,,1,2,1,1,False,False,False
98,1,97,2909321189331662885969399015494739831345576,,2,1,11,3,False,True,False
98,2,96,29529618548331607043680,,2,2,20,5,False,True,False
98,3,95,1995415442360412474904721364428195123120,,14,1,1,4,False,False,False
98,4,94,159532886153745019726716,,2,4,6,2,False,True,False
